rule, support, confidence, lift
['a' -> 'c'], 0.48, 0.6857142857142857, 1.0084033613445378
['i' -> 'a'], 0.36, 0.75, 1.0714285714285714
['c' -> 'e'], 0.38, 0.5588235294117647, 1.0348583877995643
['f' -> 'c'], 0.44, 0.7857142857142857, 1.1554621848739495
['e' -> 'f'], 0.36, 0.6666666666666666, 1.1904761904761902
['e' -> 'e'], 0.54, 1.0, 1.8518518518518516
['f' -> 'i'], 0.34, 0.6071428571428571, 1.2648809523809523
['c' -> 'f'], 0.44, 0.6470588235294118, 1.1554621848739495
['a' -> 'i'], 0.36, 0.5142857142857142, 1.0714285714285714

