rule, support, confidence, lift
['a' -> 'b'], 0.2857142857142857, 0.4, 0.9333333333333335
['i' -> 'a'], 0.2857142857142857, 1.0, 1.4
['b' -> 'c'], 0.2857142857142857, 0.6666666666666666, 0.9333333333333332
['g' -> 'b'], 0.2857142857142857, 0.6666666666666666, 1.5555555555555556
['c' -> 'f'], 0.42857142857142855, 0.6, 1.05
['f' -> 'c'], 0.42857142857142855, 0.75, 1.05
['f' -> 'g'], 0.42857142857142855, 0.75, 1.75
['c' -> 'f'], 0.42857142857142855, 0.6, 1.05
['g' -> 'i'], 0.2857142857142857, 0.6666666666666666, 2.3333333333333335
['b' -> 'g'], 0.2857142857142857, 0.6666666666666666, 1.5555555555555556
['a' -> 'i'], 0.2857142857142857, 0.4, 1.4000000000000001

