rule, support, confidence, lift
['antioxydant juice' -> 'avocado'], 0.0003999466737768298, 0.04477611940298507, 1.3434626865671642
['avocado' -> 'bacon'], 0.0003999466737768298, 0.012, 1.3848
['yams' -> 'avocado'], 0.0011998400213304892, 0.10465116279069768, 3.139953488372093
['bacon' -> 'barbecue sauce'], 0.0011998400213304892, 0.13846153846153847, 12.822222222222223
['whole wheat rice' -> 'bacon'], 0.0013331555792560992, 0.022779043280182234, 2.62870159453303
['barbecue sauce' -> 'black tea'], 0.0006665777896280496, 0.06172839506172839, 4.3273335640936885
['whole wheat pasta' -> 'barbecue sauce'], 0.0006665777896280496, 0.02262443438914027, 2.095134350036311
['black tea' -> 'blueberries'], 0.0002666311158512198, 0.018691588785046728, 2.0319653257483408
['white wine' -> 'blueberries'], 0.0002666311158512198, 0.016129032258064516, 1.7533894343151004
['body spray' -> 'brownies'], 0.0009332089054792694, 0.08139534883720931, 2.413227318687379
['vegetables mix' -> 'body spray'], 0.0003999466737768298, 0.015544041450777202, 1.3557657549102302
['brownies' -> 'bug spray'], 0.0002666311158512198, 0.007905138339920948, 0.9122529644268774
['turkey' -> 'brownies'], 0.0022663644847353685, 0.03624733475479744, 1.0746690039357136
['bug spray' -> 'burgers'], 0.0010665244634048793, 0.12307692307692308, 1.4116207951070336
['burgers' -> 'butter'], 0.0030662578322890282, 0.035168195718654434, 1.1672417525912695
['tomatoes' -> 'burgers'], 0.008265564591387815, 0.12085769980506822, 1.3861675936358053
['butter' -> 'cake'], 0.0029329422743634183, 0.09734513274336283, 1.2009635537959944
['tomato sauce' -> 'butter'], 0.0003999466737768298, 0.02830188679245283, 0.939347136416764
['cake' -> 'candy bars'], 0.0002666311158512198, 0.003289473684210526, 0.3380046863734679
['tomato juice' -> 'cake'], 0.0038661511798426876, 0.12719298245614036, 1.5692015812557711
['strawberries' -> 'candy bars'], 0.0005332622317024396, 0.025, 2.5688356164383563
['carrots' -> 'cereals'], 0.0009332089054792694, 0.06086956521739131, 2.3657129984230685
['spaghetti' -> 'carrots'], 0.004666044527396347, 0.02679938744257274, 1.7480191757107664
['cereals' -> 'champagne'], 0.001999733368884149, 0.07772020725388601, 1.66090961427749
['soup' -> 'cereals'], 0.0023996800426609784, 0.047493403693931395, 1.8458446689542976
['champagne' -> 'chicken'], 0.0025329956005865884, 0.05413105413105413, 0.9023045267489712
['shrimp' -> 'champagne'], 0.0025329956005865884, 0.03544776119402985, 0.7575317855168601
['chicken' -> 'chocolate'], 0.014664711371817091, 0.24444444444444444, 1.4919265889160112
['salt' -> 'chicken'], 0.0007998933475536596, 0.08695652173913043, 1.4494685990338163
['chocolate' -> 'cider'], 0.0021330489268097585, 0.013018714401952807, 1.2361186927727597
['salmon' -> 'chocolate'], 0.010665244634048793, 0.2507836990595611, 1.5306171901104701
['rice' -> 'cider'], 0.0003999466737768298, 0.02127659574468085, 2.0201992997576084
['clothes accessories' -> 'cookies'], 0.0007998933475536596, 0.09523809523809523, 1.1847113638158413
['red wine' -> 'clothes accessories'], 0.0003999466737768298, 0.014218009478672985, 1.6928458587226358
['cookies' -> 'cooking oil'], 0.0021330489268097585, 0.026533996683250415, 0.5196645146764004
['protein bar' -> 'cookies'], 0.0006665777896280496, 0.03597122302158273, 0.44746292518224223
['cooking oil' -> 'cottage cheese'], 0.0023996800426609784, 0.04699738903394256, 1.4750101052033602
['pepper' -> 'cooking oil'], 0.0013331555792560992, 0.05025125628140704, 0.9841636380335096
['cottage cheese' -> 'eggplant'], 0.0005332622317024396, 0.016736401673640166, 1.2680782722623725
['pasta' -> 'cottage cheese'], 0.0002666311158512198, 0.01694915254237288, 0.5319480887880291
['eggplant' -> 'eggs'], 0.0035995200639914677, 0.2727272727272727, 1.517601834367413
